A,Country,Final_SDG_Score
1,Kazakhstan,0.9999999999999999
2,Kyrgyzstan,0.9790143824824078
3,Oman,0.9727488112277008
4,Bahrain,0.9701385427629989
5,Qatar,0.9664505864005142
6,Monaco,0.9491007398721496
7,Andorra,0.9403463082305882
8,North Macedonia,0.9197515333707549
9,Albania,0.913085536
10,Lebanon,0.9016531532344724
11,Bosnia and Herzegovina,0.9013880898819026
12,Costa Rica,0.8972821373674832
13,Israel,0.8937116086634264
14,Tunisia,0.8916364564583835
15,Jordan,0.8880495427379214
16,Colombia,0.8862710113581184
17,Egypt,0.8861246517080879
18,Armenia,0.8856393084386054
19,Cyprus,0.8846062035534514
20,Luxembourg,0.8834338086602699
21,Nicaragua,0.8809809415005126
22,Tajikistan,0.8797274747359869
23,Belarus,0.8717952408182633
24,Singapore,0.8707504729498101
25,Algeria,0.870579721
26,Montenegro,0.8701584005149587
27,State of Palestine,0.8699795270918707
28,China,0.8672376903564669
29,Republic of Moldova,0.8662948695442485
30,Italy,0.8654687567919845
31,Azerbaijan,0.8647652276408827
32,Malta,0.8597923841283381
33,Serbia,0.8593181696399959
34,Greece,0.8533959773506381
35,Finland,0.8516994251333794
36,Denmark,0.8511772558672694
37,Georgia,0.846842667
38,Austria,0.8449763186282493
39,Ireland,0.8441219001263909
40,New Zealand,0.8430996077889957
41,Norway,0.8401197759592175
42,Slovakia,0.8388542747096699
43,Iceland,0.8384958307292681
44,United Kingdom of Great Britain and Northern Ireland,0.837645281
45,Northern Africa and Western Asia,0.8374601409215423
46,Japan,0.8370458710231228
47,Canada,0.8352762605140496
48,Sweden,0.8352036128730049
49,Eastern and South-Eastern Asia,0.8344323078412934
50,Turkmenistan,0.8325203646571481
51,Netherlands (Kingdom of the),0.8316909483660332
52,Estonia,0.8311860731002256
53,Paraguay,0.8296228806795533
54,Maldives,0.8286784805219343
55,Switzerland,0.8284284791873877
56,India,0.8277589772756064
57,Ukraine,0.8271969354611939
58,Grenada,0.8271848620492857
59,Uzbekistan,0.8271242273863608
60,Czechia,0.8259402478213769
61,Portugal,0.8216751198299629
62,Slovenia,0.8177237077534267
63,Germany,0.8160417275910437
64,World,0.815883526
65,El Salvador,0.8155727074716121
66,Saudi Arabia,0.8141413382777865
67,Belgium,0.8134550572019201
68,France,0.8132837722110275
69,Saint Kitts and Nevis,0.8115133106012944
70,Europe and Northern America,0.8088557263274555
71,Malaysia,0.807608567
72,Russian Federation,0.8068001681174329
73,Latvia,0.8046219973071127
74,Chile,0.8039677900056418
75,Morocco,0.8023818372424026
76,Bhutan,0.7986801414979203
77,Mexico,0.7974514224817529
78,Saint Lucia,0.7956543546674801
79,Lithuania,0.7914250717783996
80,Croatia,0.790521599
81,Romania,0.7860507017425473
82,Bulgaria,0.7858833688776964
83,Belize,0.7836463938292466
84,Mongolia,0.7795455212139656
85,Hungary,0.7783624370764833
86,Poland,0.777364263
87,Honduras,0.7757963543508691
88,Indonesia,0.7754444530178914
89,Republic of Korea,0.7645062551980587
90,Sri Lanka,0.761413675
91,Antigua and Barbuda,0.7611936066754597
92,Barbados,0.7599194827879271
93,Panama,0.7525631301857565
94,Latin America and the Caribbean,0.7524018134196288
95,United Arab Emirates,0.7516903854049581
96,Cambodia,0.7503570923752532
97,Saint Vincent and the Grenadines,0.7459570665844786
98,Dominica,0.7412679325206288
99,Palau,0.7339316669955475
100,Australia and New Zealand,0.7309612932313303
101,Thailand,0.7306233940292107
102,Australia,0.7300407819187246
103,Guyana,0.7288780943339583
104,Türkiye,0.7247460740244921
105,United States of America,0.7219244349718815
106,Dominican Republic,0.7218851809187443
107,Iran (Islamic Republic of),0.7147959253310955
108,Cuba,0.7142048892413158
109,Viet Nam,0.7113071572930092
110,Bangladesh,0.7044332613871003
111,Small island developing States (SIDS),0.6997242998708223
112,Jamaica,0.6989157155070479
113,Argentina,0.6925065481361763
114,Ecuador,0.6902462506201293
115,Brunei Darussalam,0.6776184389807732
116,Central and Southern Asia,0.6731715997311694
117,Trinidad and Tobago,0.6698638291283332
118,Iraq,0.6589950747608567
119,Seychelles,0.6521779398845727
120,Brazil,0.6496147353272843
121,Peru,0.6487427233056512
122,Nauru,0.6361292126792817
123,Timor-Leste,0.6283203351768061
124,Suriname,0.625597362
125,Libya,0.6253996371761997
126,Fiji,0.6235476164149628
127,Gabon,0.6201323195000581
128,Uruguay,0.6178545800901891
129,Malawi,0.6174444740684161
130,Oceania (exc. Australia and New Zealand),0.6154452515439331
131,Rwanda,0.6102732394230167
132,Burundi,0.6101369718498619
133,Philippines,0.6085425109797131
134,Nepal,0.6078239205338186
135,Gambia,0.6072572111245135
136,Kenya,0.6049294232262629
137,Bolivia (Plurinational State of),0.6026057797548181
138,Syrian Arab Republic,0.6010894838971843
139,Myanmar,0.5880488458880108
140,Papua New Guinea,0.5872308388033357
141,Uganda,0.5790820817586587
142,Botswana,0.5762886378891893
143,Landlocked developing countries (LLDCs),0.5755061887302779
144,Cameroon,0.5698092097597985
145,Ghana,0.5680501394507602
146,Sao Tome and Principe,0.5648793094570965
147,South Africa,0.5639498379863702
148,Yemen,0.5628375291100736
149,Pakistan,0.554830496
150,Senegal,0.5546635913574889
151,Nigeria,0.5479436304135503
152,Comoros,0.5475861674009865
153,Venezuela (Bolivarian Republic of),0.5454597615227793
154,Lao People's Democratic Republic,0.5449163626179883
155,Congo,0.5437195906529904
156,Mauritania,0.543243898
157,Ethiopia,0.5286156573549586
158,Cabo Verde,0.521534447
159,Mauritius,0.5169636487109437
160,Côte d'Ivoire,0.5142762288787013
161,Least Developed Countries (LDCs),0.5140269868271966
162,Samoa,0.5136131856215591
163,Kiribati,0.4981657207539005
164,Vanuatu,0.4969353129308204
165,Sub-Saharan Africa,0.49444466551849614
166,Solomon Islands,0.49053934605596455
167,United Republic of Tanzania,0.4890528239288262
168,Guinea-Bissau,0.4859215392312223
169,Zambia,0.48555164726272837
170,Sierra Leone,0.4822933032451589
171,Djibouti,0.47070763072350763
172,Eritrea,0.46656545994182425
173,Sudan,0.45766251810615644
174,Guinea,0.4508357482418104
175,Madagascar,0.43548968492734974
176,Somalia,0.4339949646573794
177,Haiti,0.43121646661639396
178,Mozambique,0.42996954628401596
179,Benin,0.4281912087450249
180,Angola,0.4193170656294688
181,Afghanistan,0.4091746455346546
182,Togo,0.4088833910801741
183,Burkina Faso,0.40447051357390634
184,Eswatini,0.40202508559788225
185,Equatorial Guinea,0.4011707364260716
186,Liberia,0.39653686808248545
187,Guatemala,0.3778763634610954
188,Kuwait,0.36231587676090404
189,Mali,0.35100509588263423
190,Chad,0.3474080061650661
191,Niger,0.3340471283873381
192,Central African Republic,0.3278745122167327
193,Democratic Republic of the Congo,0.2898128202592705
194,Lesotho,0.2673717428589356
195,Tonga,0.26587373614275944
196,South Sudan,0.25058674268625897
197,Tuvalu,0.24892747028662715
198,Namibia,0.24341477084681867
199,Marshall Islands,0.004324402
200,Zimbabwe,0
